City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country Code,Date
331,athabasca,34.2542,-110.0298,34.0,40,1,10.36,US,1615439042
332,athabasca,64.3833,-173.3,-5.8,71,0,2.24,RU,1615439405
333,athabasca,63.4453,120.3167,7.56,90,33,10.13,RU,1615439639
334,athabasca,44.2983,40.1856,28.2,95,100,7.27,RU,1615439639
335,athabasca,-3.5797,-59.1306,72.43,98,100,1.57,BR,1615439640
336,athabasca,31.61,34.7642,61.0,38,50,6.51,IL,1615439640
337,athabasca,-8.7537,148.2534,89.37,53,68,5.99,PG,1615439069
338,athabasca,28.017,-97.5169,71.6,88,90,24.16,US,1615439411
339,athabasca,8.5333,37.9833,66.97,41,57,13.0,ET,1615439641
340,athabasca,31.7561,25.0865,58.59,81,81,9.93,LY,1615439642
341,athabasca,-8.7522,-67.3978,71.49,96,89,2.93,BR,1615439138
342,athabasca,-3.8004,102.2655,85.1,66,19,8.77,ID,1615439642
343,athabasca,-20.3297,-40.2925,73.4,94,90,5.75,BR,1615438871
344,athabasca,10.1483,-85.452,77.0,65,0,12.66,CR,1615439643
345,athabasca,-11.7022,43.2551,78.8,89,20,5.75,KM,1615439643
346,athabasca,30.8712,105.3845,67.44,49,52,3.33,CN,1615439643
347,athabasca,53.4751,40.2095,-8.46,89,0,5.17,RU,1615439644
348,athabasca,60.1432,-45.2371,24.13,94,95,18.21,GL,1615439152
349,athabasca,60.5544,-151.2583,28.4,86,90,4.61,US,1615439644
350,athabasca,27.9769,-114.0611,56.14,75,20,11.48,MX,1615439358
351,athabasca,14.4833,79.9833,90.12,39,2,10.29,IN,1615439461
352,athabasca,56.55,37.8833,-3.91,92,39,4.23,RU,1615439645
353,athabasca,-4.1333,104.1667,87.08,63,59,5.46,ID,1615439646
354,athabasca,68.8193,-51.1922,17.6,73,75,2.04,GL,1615439646
355,athabasca,6.1241,81.1185,82.4,83,20,10.36,LK,1615439076
356,athabasca,63.05,179.3167,-7.64,82,12,0.78,RU,1615439137
357,athabasca,54.6333,-8.45,41.0,86,100,10.0,IE,1615439647
358,athabasca,4.375,-7.7169,78.82,88,68,5.86,LR,1615439647
359,athabasca,-31.5375,-68.5364,82.08,43,85,2.57,AR,1615439611
360,athabasca,28.6585,-17.9182,62.6,63,75,12.66,ES,1615439101
361,athabasca,67.667,12.6934,28.45,93,100,25.55,NO,1615439066
362,athabasca,5.4216,-75.7032,58.69,96,100,1.34,CO,1615439420
363,athabasca,7.7669,-72.225,65.79,83,57,1.74,VE,1615439126
364,athabasca,1.7471,40.0573,77.0,73,0,11.5,KE,1615439648
365,athabasca,-7.8825,-40.0817,72.05,70,4,2.21,BR,1615439649
366,athabasca,71.6872,128.8694,-17.05,84,23,26.37,RU,1615439649
